,Id,Prediction
0,0,6506313.315184254
1,1,6347506.09179909
2,2,6482605.060338618
3,3,5975658.559571432
4,4,6458833.592583662
5,5,6458833.592583662
6,6,6273296.494285188
7,7,6309378.081019413
8,8,6102958.979239742
9,9,5889658.226050093
10,10,6033807.548129015
11,11,6394859.490504354
12,12,6254414.035302172
13,13,6230472.130911537
14,14,6223886.090862205
15,15,5927973.010663305
16,16,6479244.301676407
17,17,6191580.550406534
18,18,6401412.152459995
19,19,5334462.877133043
20,20,6597594.910853154
21,21,6400017.746154672
22,22,5559769.583806346
23,23,6482605.060338618
24,24,5877783.765059086
25,25,6458833.592583662
26,26,6458833.592583662
27,27,6594651.808550455
28,28,6482605.060338618
29,29,6508101.283880489
30,30,6122057.034095886
31,31,6458833.592583662
32,32,6482605.060338618
33,33,6178252.674019602
34,34,6285132.215755928
36,36,6458833.592583662
37,37,5920866.576291176
38,38,6458833.592583662
39,39,6458833.592583662
40,40,5908825.678036293
41,41,5620637.809774897
42,42,6062500.635887742
44,44,5901770.5877760835
45,45,6482605.060338618
46,46,6432701.650149076
47,47,6458833.592583662
48,48,5832467.044734167
49,49,5963637.742926625
50,50,5597472.59238843
51,51,5901594.315627178
52,52,6458833.592583662
53,53,6347356.197837768
54,54,6458833.592583662
55,55,6047092.740020686
56,56,6553674.458067231
57,57,6458833.592583662
58,58,6458833.592583662
59,59,6218073.987516995
60,60,6640418.412481613
61,61,6371277.554290788
62,62,5950301.021243941
63,63,6304684.842996579
64,64,6015900.390433867
66,66,6141347.102704209
67,67,5723010.626134458
68,68,6185047.496432168
69,69,5970878.589615151
70,70,5843269.889288044
71,71,6368640.955604797
72,72,6273248.602209937
73,73,6458833.592583662
74,74,6464283.30006421
75,75,5559769.583806346
76,76,6362879.561553854
77,77,5852384.329360755
78,78,6015519.472748245
79,79,6347506.09179909
80,80,6482605.060338618
81,81,6458833.592583662
82,82,5559769.583806346
83,83,5975648.16253467
84,84,5798986.411975302
85,85,6458833.592583662
86,86,5728967.296694654
87,87,6345662.585873425
88,88,6671652.995233605
89,89,6451576.84177052
90,90,6482605.060338618
91,91,6240462.390723995
92,92,6460621.561279897
93,93,5967244.872319232
94,94,6371277.554290788
95,95,6371277.554290788
96,96,6347506.09179909
97,97,6458833.592583662
98,98,5539341.447879796
99,99,6188610.950032635
100,100,6482605.060338618
101,101,6458833.592583662
102,102,6335429.243242129
103,103,6379870.019249468
104,104,6482605.060338618
105,105,5587555.148415598
106,106,6221957.517098857
107,107,6483049.108729154
108,108,6482605.060338618
109,109,6482605.060338618
110,110,5821450.329214993
111,111,6576529.610333947
112,112,5797883.755153329
113,113,5990984.103720732
114,114,5854872.532012915
115,115,5834390.478225481
116,116,6294389.076473988
117,117,6278796.213162063
